step_idx,phase,topology,agent_id,active_sender,active_receiver,known_sources,known_source_count,coverage_ratio,normalized_l1_error,rmse,exact_match,sent_count,received_count,Topology,Agents,Seed
8,after_step,chain,10,False,False,[10],1,0.0624,0.9376,5.1495630882629255,False,0,0,chain,16,1
8,after_step,chain,11,False,False,[11],1,0.0624,0.9376,5.151698748956503,False,0,0,chain,16,1
8,after_step,chain,12,False,False,[12],1,0.0624,0.9376,5.149174691151972,False,0,0,chain,16,1
8,after_step,chain,13,False,False,[13],1,0.0624,0.9376,5.1613951602255765,False,0,0,chain,16,1
8,after_step,chain,14,False,False,[14],1,0.0624,0.9376,5.133030294085551,False,0,0,chain,16,1
8,after_step,chain,15,False,False,[15],1,0.0624,0.9376,5.146260778468188,False,0,0,chain,16,1
9,after_step,chain,0,False,False,[0],1,0.0626,0.9374,5.151019316601327,False,0,0,chain,16,1
9,after_step,chain,1,False,False,"[0, 1]",2,0.1252,0.8748,4.837768080427171,False,0,0,chain,16,1
9,after_step,chain,2,False,False,"[0, 1, 2]",3,0.1878,0.8122,4.516303798461746,False,0,0,chain,16,1
9,after_step,chain,3,False,False,"[0, 1, 2, 3]",4,0.2504,0.7496,4.202380277890139,False,0,0,chain,16,1
9,after_step,chain,4,False,False,"[0, 1, 2, 3, 4]",5,0.313,0.687,3.8880586415330725,False,0,0,chain,16,1
9,after_step,chain,5,False,False,"[0, 1, 2, 3, 4, 5]",6,0.3756,0.6244,3.5662305029260235,False,0,0,chain,16,1
9,after_step,chain,6,False,False,"[0, 1, 2, 3, 4, 5, 6]",7,0.4382,0.5618,3.259907974161234,False,0,0,chain,16,1
9,after_step,chain,7,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",8,0.5008,0.4992,2.951270912674741,False,0,0,chain,16,1
