step_idx,phase,topology,mean_coverage,min_coverage,max_coverage,mean_agent_rmse,median_agent_rmse,best_agent_rmse,worst_agent_rmse,mean_normalized_l1_error,exact_match_agents,full_coverage_agents,vote_top_ratio,vote_rmse,average_rmse,Topology,Agents,Seed
-1,initial,star,0.03125,0.0312,0.0314,5.304087636472071,5.305186141043255,5.288099847771409,5.316013544000805,0.96875,0,0,0.03125,5.309048879036621,,star,32,1
0,after_step,star,0.06151875,0.0312,1.0,5.138206348912262,5.3049976428945556,0.0,5.316013544000805,0.93848125,1,1,0.03125,5.309048879036621,0.0,star,32,1
1,after_step,star,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,32,32,1.0,0.0,0.0,star,32,1
-1,initial,mesh,0.25,0.25,0.25,4.205466826264592,4.203926720660952,4.19738013527486,4.216633728461603,0.75,0,0,0.25,4.20356991139674,,mesh,4,1
0,after_step,mesh,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4,4,1.0,0.0,0.0,mesh,4,1
-1,initial,mesh,0.125,0.125,0.125,4.83491264455169,4.837251126566887,4.815080477001397,4.85025772511111,0.875,0,0,0.125,4.85025772511111,,mesh,8,1
0,after_step,mesh,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8,8,1.0,0.0,0.0,mesh,8,1
-1,initial,mesh,0.0625,0.0624,0.0626,5.147895230340662,5.149514539997248,5.133030294085551,5.1613951602255765,0.9375,0,0,0.0625,5.145774965930788,,mesh,16,1
0,after_step,mesh,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16,16,1.0,0.0,0.0,mesh,16,1
-1,initial,mesh,0.03125,0.0312,0.0314,5.304087636472071,5.305186141043255,5.288099847771409,5.316013544000805,0.96875,0,0,0.03125,5.309048879036621,,mesh,32,1
0,after_step,mesh,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,32,32,1.0,0.0,0.0,mesh,32,1
-1,initial,static_exponential,0.25,0.25,0.25,4.205466826264592,4.203926720660952,4.19738013527486,4.216633728461603,0.75,0,0,0.25,4.20356991139674,,static_exponential,4,1
0,after_step,static_exponential,0.75,0.75,0.75,1.6666920138281736,1.6691314031742404,1.6480291259562132,1.6804761230080003,0.25,0,0,0.25,1.6685322891691368,,static_exponential,4,1
1,after_step,static_exponential,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4,4,1.0,0.0,0.0,static_exponential,4,1
-1,initial,static_exponential,0.125,0.125,0.125,4.83491264455169,4.837251126566887,4.815080477001397,4.85025772511111,0.875,0,0,0.125,4.85025772511111,,static_exponential,8,1
